,,Breakeven Cost,Sample Return,The Number of Trading
SRE,MRK,4.6871646447120666e-05,0.03378992880860188,12
BXP,AEP,0.0003819660112501051,0.04092330185808701,2
CB,DGX,4.797285301853455e-06,-0.1258862397603575,10
PEP,AWK,0.00033084111703622805,0.14538013490266666,7
KMB,K,4.797285301853455e-06,-0.022268087930668257,5
