Copulae,Execution Delay,Annualized Return,Annualized Volatility,Annualized Sharpe Ratio,Annualized Sortino Ratio,Skewness,Excess Kurtosis,VaR (0.05),CVaR (0.05),Min,Max,Max Drawdown,Calmar Ratio,Peak,Bottom,Recovery
Mixed,1min,0.20911960322965442,0.9939278297189168,0.21039717067666122,4.090632814584609,23.813064576192545,597.503396427402,-0.0003141215750206424,-0.008415752037367217,-0.26594310483300687,7.305353508936392,-0.27515119733832794,0.7600170569947381,2020-08-06,2020-08-24,2020-08-25 00:00:00
Mixed,2min,0.2952452500987201,1.4095165441691182,0.20946561522820667,2.6345763229494925,22.76831108223382,556.5008716090106,-0.0004323011952572792,-0.01749628145381728,-0.5758692647495139,10.171507316772544,-0.5763183623709454,0.5122954071497838,2020-08-07,2020-08-24,2021-03-29 00:00:00
Mixed,3min,0.1923612599390766,0.8153510697977085,0.23592445887978303,1.230768844644598,16.841836801698435,306.18889186298907,-0.0004634058690631482,-0.036808532670198076,-0.7325216446632923,4.705816449549868,-0.7328122589513009,0.26249732805283216,2020-08-07,2020-08-24,2021-03-29 00:00:00
Mixed,4min,0.20729722096614966,0.735864520931358,0.2817056877586391,1.3570783265600108,15.55470955669328,282.3109798569193,-0.0005268620500881338,-0.024941870717544883,-0.7840692472467675,4.371297975729601,-0.7843672298114196,0.26428592767190034,2020-08-10,2020-08-24,2021-03-29 00:00:00
Mixed,5min,0.19996497272534694,0.6796289469006576,0.29422668595452883,0.913715338141167,11.973819645408872,163.727420352695,-0.0005378741527182567,-0.035835924760292556,-1.109951412656684,2.9362837880435486,-26.38365376805904,0.007579123592329407,2020-08-05,2022-11-29,Not yet recovered
Mixed,6min,0.2380581382603716,0.8270396106031727,0.28784369600719867,1.828027210778261,14.383958725063449,220.35308695374428,-0.0005173395419697883,-0.020502994137381575,-0.6693317540166072,4.167645818793325,-0.6724938430963765,0.3539930375634011,2020-08-04,2020-08-24,2021-03-29 00:00:00
Mixed,7min,0.25090356728715185,0.8866215695240942,0.2829883412624708,1.625387425362654,14.297395968416863,216.07403986705114,-0.0005583491400679025,-0.024895743054302723,-0.7827553345247519,4.328689298151231,-0.7835905238751786,0.32019729647358436,2020-08-04,2020-08-24,2021-03-29 00:00:00
Mixed,8min,0.2219997225318222,0.7847776733890552,0.2828823118439627,1.2621586173214427,15.184455300063062,255.8960181784609,-0.000549511510789638,-0.02795997804311645,-0.8977757779375952,4.087119277716322,-0.8984040400654114,0.2471045460967192,2020-08-04,2020-08-24,2021-03-29 00:00:00
Mixed,9min,0.242885392225678,0.900225663743978,0.26980500779719385,1.1833770038323779,15.448014187588221,261.91266940397065,-0.0005635330797135956,-0.03267786538603362,-1.0558643349972603,4.604376600373437,-36.16575338972629,0.006715894719745426,2020-08-04,2022-10-26,Not yet recovered
Mixed,10min,0.21946020547848033,0.9364057898126158,0.23436442604909194,0.8109149454918871,15.102236603738062,254.83436675050757,-0.0005544946180753267,-0.06526663127319692,-1.1558433203807763,4.814062257687593,-79.48590377486013,0.0027609952841461103,2020-01-13,2022-11-30,Not yet recovered
Mixed,11min,0.2574318104225064,1.0124552619876106,0.2542648747927161,1.0103905633094845,16.105100507480135,284.6813202987094,-0.0005626090357053132,-0.038399850377346716,-1.3032820270369376,5.434587037893595,-254.94899663230603,0.001009738472490563,2020-08-06,2022-12-02,Not yet recovered
Mixed,12min,0.23561355464508654,0.9801719805493826,0.2403798101972126,0.7986754388288686,16.26855919545409,306.8233509571528,-0.0005679056804975774,-0.05006706474317445,-1.480369057572794,5.827073470312437,-387.07790318413737,0.0006086980235939805,2020-08-06,2022-11-30,Not yet recovered
Mixed,13min,0.25866863606738405,1.1065531305093828,0.23376070152936115,0.778245001875855,17.691949067293972,368.1016897164997,-0.000514856418189486,-0.05085893484142963,-1.7373909654153614,7.074340586170946,-618.5342232530272,0.0004181961585035353,2020-08-05,2022-10-26,Not yet recovered
Mixed,14min,0.2805192376533583,1.1856158528822809,0.23660213126486498,0.7664100061942453,17.16975376320554,347.61862588206776,-0.0005175407492192246,-0.05367604418418648,-1.887410556608669,7.436246188134,-864.1758596544094,0.0003246089722588873,2020-08-06,2022-11-29,Not yet recovered
Mixed,15min,0.2749167784357024,1.2466902822772086,0.22051730276868647,0.7554535404086906,17.460095303309743,355.99914486369124,-0.0005363865409113879,-0.0588698795914898,-1.8535587857120404,7.893646243351894,-953.2240743087368,0.00028840729671569375,2020-08-04,2022-11-29,Not yet recovered
Gumbel,1min,-0.0045262793573516875,0.019457116174724825,-0.23262847981713822,-0.15736962443290942,-17.07276696783981,319.47380306192565,-0.00033688953074708516,-0.00839278704792127,-0.11762010438818049,0.00167427839751088,-0.2433718188600791,0.018598206557160858,2022-01-28,2022-04-11,Not yet recovered
Gumbel,2min,0.0012012859354528123,0.022573414492188876,0.053216846563841534,0.056373435566038306,4.919736231977954,324.7981933568711,-0.00044014792277156885,-0.004106046030346768,-0.10582146718447802,0.12768478682850654,-0.10582146718447803,0.011352006047682333,2022-03-28,2022-03-29,2022-03-31 00:00:00
Gumbel,3min,0.006282346429838226,0.04608897349695847,0.13630909853639533,0.38264250566128877,21.20630761514275,508.8500183176879,-0.0004321099940597374,-0.0041353877325067505,-0.05896099097090455,0.3208348973990667,-0.11009433870387807,0.05706330138133552,2022-03-28,2022-03-30,2022-04-01 00:00:00
