,start_date,end_date,pair1,pair2,pair3,pair4,pair5
41,2020-10-26,2020-10-30,"('CVX', 'ED')","('LKQ', 'PEG')","('SWKS', 'APD')","('NVDA', 'AMGN')","('XOM', 'JNPR')"
42,2020-11-02,2020-11-06,"('HON', 'ETN')","('HRL', 'AEE')","('EMR', 'MMM')","('ADI', 'NWSA')","('BDX', 'ED')"
43,2020-11-09,2020-11-13,"('EVRG', 'AEE')","('DOW', 'ETN')","('IPG', 'IP')","('FAST', 'DRE')",
44,2020-11-16,2020-11-20,"('COST', 'CTXS')","('COP', 'CXO')","('NCLH', 'EXPE')","('EOG', 'PSX')","('IR', 'CAH')"
45,2020-11-23,2020-11-27,"('CDNS', 'SPGI')","('COP', 'CXO')","('CPB', 'AON')","('GILD', 'FIS')","('KMB', 'LHX')"
46,2020-11-30,2020-12-04,"('COP', 'CXO')","('MRO', 'SLB')","('CTVA', 'TEL')","('GLW', 'ACN')","('ORCL', 'PAYX')"
47,2020-12-07,2020-12-11,"('PAYX', 'GPN')","('CSCO', 'ORCL')","('HPQ', 'BEN')","('GLW', 'FIS')","('PG', 'WEC')"
48,2020-12-14,2020-12-18,"('PRU', 'TEL')","('MDLZ', 'AON')","('AEE', 'NSC')","('GILD', 'MMC')",
49,2020-12-21,2020-12-24,"('TJX', 'YUM')","('PG', 'CHD')","('TMUS', 'UNP')","('WBA', 'INFO')","('JCI', 'TRV')"
50,2020-12-28,2020-12-31,"('EOG', 'CXO')","('PG', 'JCI')","('MCK', 'LHX')","('TIF', 'ZTS')","('CTVA', 'HLT')"
