,start_date,end_date,pair1,pair2,pair3,pair4,pair5
0,2022-01-18,2022-01-21,"('VTRS', 'WMB')","('EXC', 'LNT')","('HPE', 'NWL')","('IVZ', 'OKE')","('WELL', 'GD')"
1,2022-01-24,2022-01-28,"('MCD', 'EVRG')","('AMT', 'EXPD')","('EMR', 'UDR')","('SLB', 'EOG')","('PSX', 'CAH')"
2,2022-01-31,2022-02-04,"('PFG', 'ALK')","('MPC', 'VLO')","('CSGP', 'SNPS')","('AEP', 'AEE')","('CAG', 'D')"
3,2022-02-07,2022-02-11,"('SBUX', 'CARR')","('APA', 'AXP')","('BBY', 'PRU')","('PM', 'PEG')","('ACN', 'IRM')"
4,2022-02-14,2022-02-18,"('DAL', 'EXPE')","('AAPL', 'CNP')","('JNJ', 'XEL')","('VTRS', 'NWSA')","('MO', 'FE')"
5,2022-02-22,2022-02-25,"('DD', 'HLT')","('ES', 'WEC')","('GILD', 'EXC')","('WYNN', 'LYV')","('MCD', 'MKC')"
6,2022-02-28,2022-03-04,"('EXC', 'BRO')","('QCOM', 'TPR')","('ADP', 'EQR')","('PEAK', 'FOX')","('XRAY', 'LLY')"
7,2022-03-07,2022-03-11,"('RCL', 'ALK')","('SLB', 'NWL')","('CAG', 'KMB')","('SHW', 'LIN')","('PEG', 'ABC')"
8,2022-03-14,2022-03-18,"('LLY', 'SRE')","('JNJ', 'ED')","('EXC', 'XEL')","('ABBV', 'PLD')","('MA', 'AXP')"
9,2022-03-21,2022-03-25,"('MRK', 'SRE')","('IP', 'GPN')","('WMB', 'XRAY')","('RTX', 'HRL')","('UDR', 'AOS')"
10,2022-03-28,2022-04-01,"('KDP', 'AOS')","('WM', 'ARE')","('ABBV', 'DLTR')","('GPN', 'PPG')","('XOM', 'CVX')"
11,2022-04-04,2022-04-08,"('FE', 'EVRG')","('JNJ', 'ABBV')","('FAST', 'COST')","('XEL', 'WEC')","('FOXA', 'FOX')"
12,2022-04-11,2022-04-14,"('AMGN', 'ES')","('DIS', 'TEL')","('XEL', 'WEC')","('DAL', 'CBRE')","('TER', 'LRCX')"
