,start_date,end_date,pair1,pair2,pair3,pair4,pair5
13,2022-04-18,2022-04-22,"('XEL', 'WEC')","('BK', 'PNR')","('PEP', 'D')","('FTV', 'MAS')","('ES', 'EVRG')"
14,2022-04-25,2022-04-29,"('AEP', 'WELL')","('WYNN', 'PHM')","('LVS', 'NXPI')","('PM', 'PEG')","('BMY', 'PEAK')"
15,2022-05-02,2022-05-06,"('EIX', 'ES')","('KO', 'PM')","('WMT', 'AEE')","('VFC', 'BK')","('VTRS', 'CTVA')"
16,2022-05-09,2022-05-13,"('AMAT', 'ADI')","('UDR', 'BRO')","('EIX', 'SRE')","('COP', 'EOG')","('GLW', 'FANG')"
17,2022-05-16,2022-05-20,"('BAX', 'IP')","('DIS', 'QCOM')","('CSX', 'DD')","('VZ', 'ABBV')","('ABT', 'YUM')"
18,2022-05-23,2022-05-27,"('BMY', 'LNT')","('KO', 'MKC')","('SO', 'CB')","('LMT', 'LHX')","('AXP', 'PRU')"
19,2022-05-31,2022-06-03,"('WMB', 'TMUS')","('CRM', 'ARE')","('APH', 'AME')","('UDR', 'IRM')","('SO', 'RSG')"
20,2022-06-06,2022-06-10,"('IFF', 'PNR')","('GIS', 'AEP')",,,
21,2022-06-13,2022-06-17,"('CAT', 'ETN')","('FE', 'CHD')","('MRK', 'ED')","('EMR', 'IR')","('GOOG', 'PCAR')"
22,2022-06-21,2022-06-24,"('ON', 'LRCX')","('OMC', 'TT')","('KHC', 'CAG')","('IVZ', 'QRVO')","('KO', 'PEP')"
23,2022-06-27,2022-07-01,"('CTSH', 'MA')","('WEC', 'ED')","('WY', 'IPG')","('INVH', 'CAH')","('AFL', 'APD')"
24,2022-07-05,2022-07-08,"('CSX', 'FOX')","('CTSH', 'MA')","('ETN', 'AKAM')","('BAX', 'ZBH')","('KO', 'MDLZ')"
25,2022-07-11,2022-07-15,"('COP', 'FANG')","('MOS', 'EOG')","('LUV', 'ITW')","('AKAM', 'BXP')","('CF', 'TRGP')"
26,2022-07-18,2022-07-22,"('D', 'WM')","('SWKS', 'LRCX')","('FE', 'SRE')","('FIS', 'CBRE')","('VFC', 'IPG')"
27,2022-07-25,2022-07-29,"('WY', 'UDR')","('AMAT', 'ON')","('KDP', 'PPL')","('NTAP', 'CPRT')","('PEAK', 'VTR')"
28,2022-08-01,2022-08-05,"('MGM', 'CPRT')","('VICI', 'ALK')","('CPB', 'K')","('LOW', 'IP')","('LKQ', 'EL')"
29,2022-08-08,2022-08-12,"('MO', 'MDT')","('AMT', 'LIN')","('SO', 'LNT')","('WEC', 'EVRG')","('TMO', 'ED')"
30,2022-08-15,2022-08-19,"('CCI', 'HRL')",,,,
31,2022-08-22,2022-08-26,"('CI', 'EVRG')","('AXP', 'TRMB')","('PEP', 'PG')","('TXN', 'ADI')","('MCD', 'LMT')"
32,2022-08-29,2022-09-02,"('KDP', 'ADP')","('DVN', 'EOG')","('MSFT', 'LIN')","('OTIS', 'TMO')","('KMI', 'ADM')"
33,2022-09-06,2022-09-09,"('PEP', 'HON')","('GM', 'PWR')","('IBM', 'KMB')","('DVN', 'EOG')","('KDP', 'V')"
34,2022-09-12,2022-09-16,"('CTVA', 'TEL')","('DIS', 'PHM')","('PLD', 'ARE')","('TSN', 'NTAP')","('JNPR', 'SWK')"
35,2022-09-19,2022-09-23,"('KMI', 'OKE')","('XEL', 'LNT')","('MCD', 'AEE')","('WBA', 'COST')","('ETN', 'A')"
36,2022-09-26,2022-09-30,"('EXC', 'MMC')","('AKAM', 'VTR')","('CSCO', 'BBY')","('AEP', 'ETR')","('ES', 'ED')"
37,2022-10-03,2022-10-07,"('CNP', 'XEL')","('AEP', 'WEC')","('PAYX', 'TRMB')","('MSFT', 'ADP')","('MKC', 'EVRG')"
38,2022-10-10,2022-10-14,"('HST', 'TMUS')","('CSGP', 'EA')","('CSX', 'FAST')","('CI', 'LKQ')","('DVN', 'HES')"
39,2022-10-17,2022-10-21,"('IBM', 'XRAY')","('CAT', 'HCA')","('DVN', 'HES')","('WY', 'CHD')","('APD', 'PNR')"
40,2022-10-24,2022-10-28,"('GILD', 'JNJ')","('EBAY', 'MDT')","('FIS', 'BEN')","('MDLZ', 'KMB')","('ETN', 'ECL')"
41,2022-10-31,2022-11-04,"('HST', 'CNP')","('AEP', 'ETR')","('AMCR', 'EXPD')","('PEP', 'ICE')","('NKE', 'ZBH')"
42,2022-11-07,2022-11-11,"('OTIS', 'SRE')","('ES', 'LNT')","('WMT', 'MRK')","('WMB', 'OKE')",
43,2022-11-14,2022-11-18,"('PEAK', 'FAST')","('AAL', 'ARE')","('PYPL', 'ADBE')","('TMUS', 'CB')","('MCHP', 'LRCX')"
44,2022-11-21,2022-11-25,"('CAG', 'ABC')","('GILD', 'HRL')","('MCD', 'CB')","('INCY', 'TRV')","('ROL', 'GD')"
45,2022-11-28,2022-12-02,"('MU', 'NWL')","('CTRA', 'TROW')",,,
46,2022-12-05,2022-12-09,"('AES', 'AEP')","('CVS', 'ED')","('HON', 'AFL')",,
47,2022-12-12,2022-12-16,"('MMC', 'KMB')","('IBM', 'CLX')","('PPL', 'ED')","('K', 'TRV')",
48,2022-12-19,2022-12-23,"('CSCO', 'ITW')","('AAPL', 'HPQ')","('GILD', 'DE')","('CARR', 'AME')","('MDLZ', 'TRV')"
49,2022-12-27,2022-12-30,"('NDAQ', 'A')","('EBAY', 'NXPI')","('INTC', 'ADP')","('KO', 'RTX')","('CNP', 'FE')"
