,start_date,end_date,pair1,pair2,pair3,pair4,pair5
0,2021-01-19,2021-01-22,"('BKR', 'CVX')","('MDLZ', 'HON')","('TER', 'KMX')","('TGT', 'CTVA')","('KMI', 'IVZ')"
1,2021-01-25,2021-01-29,"('VZ', 'CPB')","('PFE', 'WM')","('KMB', 'MMC')","('GD', 'L')","('WMB', 'CF')"
2,2021-02-01,2021-02-05,"('NEM', 'CTSH')","('KR', 'CPB')","('WM', 'RSG')","('KHC', 'HRL')","('V', 'ZBH')"
3,2021-02-08,2021-02-12,"('WM', 'ITW')","('BMY', 'MRK')","('AEP', 'UDR')",,
4,2021-02-16,2021-02-19,"('SLB', 'ALK')","('CPB', 'CHD')","('ADBE', 'PWR')","('BK', 'LMT')","('EMR', 'ADSK')"
5,2021-02-22,2021-02-26,"('PM', 'TRV')","('TSLA', 'INCY')","('KR', 'MO')","('VTRS', 'AON')","('TMUS', 'ROL')"
6,2021-03-01,2021-03-05,"('TTWO', 'CPRT')","('PFE', 'TGT')","('AON', 'GD')","('PRU', 'LYB')","('GIS', 'CPB')"
7,2021-03-08,2021-03-12,"('ABT', 'ADBE')","('VZ', 'PG')","('MPC', 'IPG')","('CL', 'AMGN')","('AMD', 'QCOM')"
8,2021-03-15,2021-03-19,"('ADP', 'SPGI')","('INFO', 'PAYX')","('PM', 'LHX')","('HRL', 'KMB')","('ETN', 'ITW')"
9,2021-03-22,2021-03-26,"('JNJ', 'CERN')","('O', 'FAST')","('CSCO', 'A')","('MO', 'LOW')","('HRL', 'ZBH')"
10,2021-03-29,2021-04-01,"('BDX', 'AME')","('INFO', 'SPGI')","('FIS', 'CME')","('ADM', 'UDR')","('DVN', 'MPC')"
11,2021-04-05,2021-04-09,"('CERN', 'ICE')","('XEL', 'LNT')","('PPL', 'CTVA')","('ROST', 'DE')","('DOW', 'AFL')"
12,2021-04-12,2021-04-16,"('UPS', 'MAS')","('PG', 'CL')","('AXP', 'WLTW')","('KO', 'HSY')","('AEE', 'WEC')"
