,start_date,end_date,pair1,pair2,pair3,pair4,pair5
13,2021-04-19,2021-04-23,"('D', 'FE')","('DVN', 'COP')","('RTX', 'UNP')","('NLSN', 'SWK')","('VTR', 'REG')"
14,2021-04-26,2021-04-30,"('SLB', 'DVN')","('SO', 'AEE')","('CVS', 'FIS')","('LVS', 'PSX')","('LYV', 'CMA')"
15,2021-05-03,2021-05-07,"('PG', 'EXC')","('AES', 'TSN')","('O', 'PPG')","('EL', 'AME')","('XEL', 'EVRG')"
16,2021-05-10,2021-05-14,"('ED', 'AEE')","('XEL', 'WEC')","('UNH', 'RSG')","('INTC', 'APH')",
17,2021-05-17,2021-05-21,"('AFL', 'HCA')","('AMT', 'LW')","('PLD', 'ETR')","('IPG', 'DFS')","('MDT', 'CCI')"
18,2021-05-24,2021-05-28,"('BLL', 'ROL')","('AEE', 'YUM')",,,
19,2021-06-01,2021-06-04,"('EOG', 'PXD')","('CNC', 'EW')","('AMCR', 'PSX')","('GIS', 'XEL')","('TER', 'QRVO')"
20,2021-06-07,2021-06-11,"('PEP', 'HSY')","('ETN', 'AME')","('DIS', 'TER')","('AXP', 'UDR')","('MMM', 'GD')"
21,2021-06-14,2021-06-18,"('MCHP', 'MAS')","('MRO', 'DVN')","('COP', 'DRE')","('KMI', 'EIX')","('CSX', 'L')"
22,2021-06-21,2021-06-25,"('EW', 'ZTS')","('BLL', 'LMT')","('UDR', 'PLD')","('DIS', 'MDLZ')","('WM', 'HSY')"
23,2021-06-28,2021-07-02,"('CCI', 'VRSK')","('OTIS', 'ROL')","('MMM', 'REG')","('MSFT', 'COST')","('PG', 'HSY')"
24,2021-07-06,2021-07-09,"('HRL', 'LMT')","('TMUS', 'FISV')","('ANTM', 'EXPD')","('CL', 'PEG')","('ROL', 'RSG')"
25,2021-07-12,2021-07-16,"('CCL', 'VLO')","('MPC', 'CMA')","('NCLH', 'LYV')","('KO', 'AME')","('SWK', 'ANTM')"
26,2021-07-19,2021-07-23,"('MRO', 'SLB')","('TMUS', 'OTIS')","('CCI', 'CPRT')","('D', 'PEG')","('CAH', 'SWK')"
27,2021-07-26,2021-07-30,"('MDT', 'APH')","('CL', 'XEL')","('MRO', 'VLO')","('QRVO', 'SYK')","('BKR', 'PSX')"
28,2021-08-02,2021-08-06,"('PEAK', 'GD')","('OTIS', 'INTU')","('XEL', 'WEC')","('ATVI', 'UPS')","('APH', 'NOW')"
29,2021-08-09,2021-08-13,"('TPR', 'YUM')","('XEL', 'ED')","('ES', 'EVRG')","('ICE', 'EL')",
30,2021-08-16,2021-08-20,"('KMI', 'PEP')","('WMB', 'TMUS')","('VZ', 'FE')","('CLX', 'TTWO')","('NTAP', 'LNT')"
31,2021-08-23,2021-08-27,"('EA', 'AEE')","('PG', 'AEP')","('FOXA', 'EMR')","('JNJ', 'MMC')","('IPG', 'AFL')"
32,2021-08-30,2021-09-03,"('IBM', 'BXP')","('D', 'COST')","('PG', 'PEP')","('AEP', 'LNT')","('ABT', 'AMT')"
33,2021-09-07,2021-09-10,"('UPS', 'MMC')","('AEP', 'ED')","('AMAT', 'KLAC')","('INFO', 'ICE')","('AMD', 'LRCX')"
34,2021-09-13,2021-09-17,"('MRK', 'AOS')","('SPGI', 'MMC')","('LHX', 'APD')","('JNJ', 'AMGN')","('MSFT', 'IBM')"
35,2021-09-20,2021-09-24,"('JNJ', 'TTWO')","('HD', 'MCD')","('OMC', 'ABC')","('EXC', 'GIS')","('CB', 'WM')"
36,2021-09-27,2021-10-01,"('NCLH', 'RCL')","('IP', 'GPN')","('DAL', 'LUV')","('ICE', 'SPGI')","('NWSA', 'AXP')"
37,2021-10-04,2021-10-08,"('GM', 'KMI')","('FCX', 'LYB')","('CBRE', 'L')","('FOXA', 'FOX')","('SBUX', 'MMC')"
38,2021-10-11,2021-10-15,"('PPL', 'AEE')","('IR', 'LIN')",,,
39,2021-10-18,2021-10-22,"('CAH', 'INCY')","('SBUX', 'DGX')",,,
40,2021-10-25,2021-10-29,"('PPL', 'WAB')","('ABBV', 'PXD')","('KHC', 'JNPR')","('SWKS', 'ZBH')","('FDX', 'AEE')"
41,2021-11-01,2021-11-05,"('PAYX', 'ED')","('DRE', 'NSC')","('UNH', 'LOW')","('K', 'ES')","('MNST', 'HSY')"
42,2021-11-08,2021-11-12,"('NCLH', 'RCL')","('CSX', 'NSC')","('CCL', 'LUV')","('GIS', 'K')","('AEP', 'LNT')"
43,2021-11-15,2021-11-19,"('GILD', 'K')","('NCLH', 'RCL')","('SPGI', 'NSC')","('CNP', 'CL')","('NVDA', 'QCOM')"
44,2021-11-22,2021-11-26,"('MSFT', 'KLAC')","('PEP', 'LNT')","('VZ', 'KO')","('LMT', 'YUM')","('ES', 'WEC')"
45,2021-11-29,2021-12-03,"('PG', 'SO')","('CL', 'HRL')","('CNP', 'FE')","('AEE', 'EVRG')",
46,2021-12-06,2021-12-10,"('DRE', 'PLD')","('CAG', 'CPB')","('CTSH', 'APH')","('AES', 'HCA')","('MDLZ', 'AEE')"
47,2021-12-13,2021-12-17,"('XOM', 'TRV')","('ED', 'LNT')","('FE', 'SRE')","('CVX', 'EMR')","('LNC', 'WAB')"
48,2021-12-20,2021-12-23,"('WLTW', 'TEL')","('SRE', 'L')","('ES', 'HSY')","('AFL', 'MCD')","('UNP', 'AOS')"
49,2021-12-27,2021-12-31,"('SPGI', 'AME')","('AAPL', 'QCOM')","('ENPH', 'ALB')","('PLD', 'ED')","('UAA', 'UA')"
