start_date,end_date,pair1,pair2,pair3,pair4,pair5
2022-01-18,2022-01-21,0.5144788545306755,0.0,0.04874271077741623,0.22175823272860906,0.21502020196329927
2022-01-24,2022-01-28,0.0,0.2015054519833919,0.22738154979321007,0.2774946901970325,0.2936183080263657
2022-01-31,2022-02-04,0.09593259095097154,0.04677231817042237,0.5037603876795085,2.0626570998333776e-17,0.35353470319909747
2022-02-07,2022-02-11,0.20744430161061075,0.3780350615299662,0.20733160147289198,0.20718903538653097,1.734723475976807e-18
2022-02-14,2022-02-18,0.16002311907593486,1.5829351718288365e-17,0.010933949120069173,0.4631713779185694,0.3658715538854265
2022-02-22,2022-02-25,0.385265558374266,1.8431436932253575e-18,0.21091854435625673,0.2644227878294863,0.13939310943999086
2022-02-28,2022-03-04,0.25499082517157295,0.30777261316954463,0.2145020805251837,0.22139310560285982,0.0013413755308388773
2022-03-07,2022-03-11,0.0,0.29807217398811864,0.33228449245007785,0.23154701757535012,0.13809631598645344
2022-03-14,2022-03-18,0.0362839056831761,0.1891394564611853,1.0039712117215771e-16,0.7745766378556386,0.0
2022-03-21,2022-03-25,0.23153292547228313,0.41535662965655246,0.3531104448711645,0.0,0.0
2022-03-28,2022-04-01,0.15595216871427275,0.7252284960154768,0.07052557015992765,0.048293765110322635,9.977052726341898e-17
2022-04-04,2022-04-08,0.035202804364729515,0.29101627308639366,0.2772319959448437,0.18512847344752004,0.21142045315651303
2022-04-11,2022-04-14,0.32710099355980177,0.1600866611161376,0.28695040443396497,0.13701476072862165,0.08884718016147401
2022-04-18,2022-04-22,0.20063960205132655,0.20092695563233395,0.1993162816772184,0.0,0.3991171606391632
2022-04-25,2022-04-29,0.0,0.6228928182426676,0.11115787512428868,0.16380804295134146,0.10214126368170229
2022-05-02,2022-05-06,0.21974405493670346,0.46975945460999474,0.12531736765165025,0.1851791228016516,9.622294280808852e-19
2022-05-09,2022-05-13,0.20308815088755047,0.38970257140058107,0.2042475090184881,1.9081958235744878e-17,0.20296176869338037
2022-05-16,2022-05-20,0.41450924818896606,0.12085561788667668,0.12660832975017855,0.21396830449143428,0.12405849968274443
2022-05-23,2022-05-27,0.0,0.20601064210476253,0.20594816853451464,0.38159658599383706,0.20644460336688583
2022-05-31,2022-06-03,0.44203622864987635,0.2606802969389032,0.14852228765131234,6.862999751833243e-17,0.1487611867599081
2022-06-06,2022-06-10,0.5,0.5,,,
2022-06-13,2022-06-17,0.2,0.2,0.2,0.2,0.2
2022-06-21,2022-06-24,0.0012689369605292096,3.6215740692804865e-17,0.25456211901609904,0.24564767498048662,0.4985212690428851
2022-06-27,2022-07-01,0.46170243165457087,0.19604519983026453,0.23217536937264657,1.0408340855860843e-17,0.11007699914251805
2022-07-05,2022-07-08,0.09949631089580346,0.26435806461856637,0.3617662759799591,0.14765401083952165,0.1267253376661495
2022-07-11,2022-07-15,0.0,0.4558057069925882,3.345310140012714e-13,0.20099208588535636,0.34320220712172783
2022-07-18,2022-07-22,2.5795081436084938e-17,0.2494417966037088,1.0549901684566419e-16,0.5513752597246889,0.19918294367160205
2022-07-25,2022-07-29,1.396425461201591e-17,0.28080846413991734,0.15378637016237204,0.3614941796334688,0.20391098606424168
2022-08-01,2022-08-05,0.052593800677485994,0.4465789834094185,2.6020852139652106e-18,0.24545994878617192,0.2553672671269237
2022-08-08,2022-08-12,0.7362025130066371,0.03393978983897148,0.16227614095905085,0.031382097410314634,0.0361994587850259
2022-08-15,2022-08-19,1.0,,,,
2022-08-22,2022-08-26,0.20841572443617692,0.1656858556828376,0.22748769416955356,0.23968876994907584,0.1587219557623561
2022-08-29,2022-09-02,0.1611296245698421,0.3376399841817108,0.0990514348287691,0.16560508637308807,0.23657387004659
2022-09-06,2022-09-09,0.17690514832489115,0.2601148327209589,0.10987769067886684,0.3015191034182056,0.1515832248570775
2022-09-12,2022-09-16,0.2,0.2,0.2,0.2,0.2
2022-09-19,2022-09-23,0.0,0.04660623061791783,0.7586573980780558,0.06284585040106636,0.13189052090296002
2022-09-26,2022-09-30,0.20795021167775055,0.2894441276478126,0.18363476666416992,2.6038129420716823e-17,0.318970894010267
2022-10-03,2022-10-07,0.3115244511937601,0.6001051995458917,6.421483668157119e-11,0.08837034973999901,0.0
2022-10-10,2022-10-14,0.15713402123723644,0.13157133333454032,0.15525884063365714,0.42089924761796116,0.13513655717660503
2022-10-17,2022-10-21,0.4863614225648865,2.5388077870471676e-14,1.5415999640028266e-19,0.48614485423392095,0.027493723201167206
2022-10-24,2022-10-28,0.2378312476113169,0.2381048984581473,0.06665335212192683,0.19394462659065853,0.26346587521795045
2022-10-31,2022-11-04,0.28771493505108936,0.2054142669351847,0.21059225071485985,0.0,0.29627854729886616
2022-11-07,2022-11-11,0.0,0.2621294717879289,0.2614909693628008,0.4763795588492703,
2022-11-14,2022-11-18,0.4052690854846408,0.19481252907289037,0.21063338388193392,0.18928500156040204,1.3288042812354545e-13
2022-11-21,2022-11-25,0.060477861492490494,0.6342844414366086,0.0,0.0,0.30523769707090104
2022-11-28,2022-12-02,1.0,5.551115123125783e-17,,,
2022-12-05,2022-12-09,0.19074029082416172,0.6540385254595475,0.15522118371629084,,
2022-12-12,2022-12-16,1.3877787807814457e-17,0.039819289120043,0.16581455498149197,0.794366155898465,
2022-12-19,2022-12-23,0.1986238933106066,0.09810221494706334,0.09823124279846779,0.20451191151464704,0.40053073742921524
2022-12-27,2022-12-30,0.14415920805531254,2.5824455243628232e-17,0.18356703541612784,0.5327032092382437,0.139570547290316
