Return Type,Overnight,Daily,Overnight,Daily,Overnight,Daily
Year,2020,2020,2021,2021,2022,2022
Annualized Return,-0.08175190555716427,-0.27440601087401717,-0.08231982457438786,-0.06449130931435719,0.009979598006944784,0.9355977914755682
Annualized Volatility,0.14250234579905832,0.12496856746053292,0.11081037739001609,0.10242094992619502,0.40648955914153506,1.0602018893674994
Annualized Sharpe Ratio,-0.5736881389478468,-2.1958002436146913,-0.7428891274744887,-0.6296691190701698,0.024550687176370996,0.8824713489557464
Annualized Sortino Ratio,-0.8392721483091813,-2.676170669678363,-1.0328985356283706,-0.9064221022682708,0.03689668850721769,3.812213899727759
Skewness,0.10745683632391842,-0.3840831599690431,0.054217050020078414,0.3433669621133937,6.003944116979607,13.352168676606292
Excess Kurtosis,0.5640886677576655,1.533445576307078,1.0048682322125666,1.9613234867164353,82.40541540343663,190.5431176998143
VaR (0.05),-0.015256920941581483,-0.015337772075206053,-0.010918780263967792,-0.010370182811691647,-0.015207197529719562,-0.015259866707476484
CVaR (0.05),-0.01921909673293967,-0.020409108858409814,-0.015794821868359756,-0.013704616223371822,-0.0407662777441185,-0.03653755451473972
Min,-0.024927241786323183,-0.02725634726193384,-0.02019971109966932,-0.020310219323150018,-0.14719236808586025,-0.13622940068769232
Max,0.025968564596129458,0.022112121503912303,0.02112999558447806,0.02109774080316683,0.28983288988677863,0.9519134348909217
Max Drawdown,-0.08766047420025651,-0.24515256735233937,-0.07749277152333583,-0.109385944193178,-0.27898567372089145,-0.30882474397230797
Calmar Ratio,0.9325971174922649,1.1193275022065505,1.0622903653613476,0.5895758343545868,0.0357710052772415,3.0295428385733962
Peak,2020-01-23 00:00:00,2020-01-16 00:00:00,2021-03-01 00:00:00,2021-03-05 00:00:00,2022-01-18 00:00:00,2022-03-30 00:00:00
Bottom,2020-11-23 00:00:00,2020-10-22 00:00:00,2021-12-31 00:00:00,2021-12-02 00:00:00,2022-03-30 00:00:00,2022-12-29 00:00:00
Recovery,Not yet recovered,Not yet recovered,Not yet recovered,Not yet recovered,2022-04-01 00:00:00,Not yet recovered
