,start_date,end_date,pair1,pair2,pair3,pair4,pair5
0,2019-01-14,2019-01-18,"('TWTR', 'DVN')","('ORCL', 'PRU')","('HD', 'VLO')","('NWL', 'BA')","('WDC', 'GPN')"
1,2019-01-22,2019-01-25,"('PSX', 'MMC')","('DAL', 'ED')","('PLD', 'GPN')","('COST', 'TXT')","('KR', 'HON')"
2,2019-01-28,2019-02-01,"('BA', 'NCLH')","('V', 'AXP')","('KLAC', 'QRVO')","('GILD', 'O')","('PAYX', 'ANTM')"
3,2019-02-04,2019-02-08,"('GE', 'ALGN')","('EXC', 'WEC')","('STX', 'ADI')","('LNT', 'AEE')","('SBUX', 'A')"
4,2019-02-11,2019-02-15,"('MO', 'ETN')","('XEL', 'LNT')","('FOXA', 'EVRG')","('SO', 'PEG')","('TJX', 'UNP')"
5,2019-02-19,2019-02-22,"('FE', 'PLD')","('D', 'EVRG')","('PG', 'DHR')","('UPS', 'AXP')","('TJX', 'A')"
6,2019-02-25,2019-03-01,"('HPQ', 'DHR')","('BAX', 'APH')","('BSX', 'ABT')",,
7,2019-03-04,2019-03-08,"('PGR', 'MMC')","('CHD', 'WEC')","('ORCL', 'ADP')",,
8,2019-03-11,2019-03-15,"('HBI', 'STX')","('UNP', 'EMR')","('XOM', 'KEYS')","('CSX', 'GLW')","('ABBV', 'IBM')"
9,2019-03-18,2019-03-22,"('ADSK', 'INCY')","('ADM', 'CERN')","('QRVO', 'RCL')","('PFE', 'M')","('INTC', 'BAX')"
10,2019-03-25,2019-03-29,"('CRM', 'TMO')","('HST', 'APTV')","('UAL', 'HAS')",,
11,2019-04-01,2019-04-05,"('CTSH', 'CAT')","('CTL', 'LNT')","('KR', 'MO')","('TJX', 'WM')","('MMC', 'PWR')"
12,2019-04-08,2019-04-12,"('BLL', 'WM')","('PAYX', 'TMO')","('FAST', 'LUV')","('KO', 'PEP')","('MDLZ', 'D')"
13,2019-04-15,2019-04-18,"('F', 'ADI')","('INFO', 'ED')","('BEN', 'PWR')","('LNT', 'EVRG')","('HRB', 'FDX')"
14,2019-04-22,2019-04-26,"('UPS', 'EMR')","('AVGO', 'FDX')","('IBM', 'XRAY')","('GIS', 'KMB')","('VZ', 'MAS')"
15,2019-04-29,2019-05-03,"('IBM', 'GRMN')","('BWA', 'APTV')","('XEL', 'WEC')","('ORCL', 'CPRT')","('MDLZ', 'MXIM')"
16,2019-05-06,2019-05-10,"('COST', 'MMC')","('XEL', 'WEC')","('AMT', 'WM')","('HLT', 'RCL')","('FCX', 'HAL')"
17,2019-05-13,2019-05-17,"('SO', 'AEE')","('M', 'MMM')","('GE', 'STX')","('ADBE', 'ADSK')","('ROST', 'ADP')"
18,2019-05-20,2019-05-24,"('DHI', 'FIS')","('AAL', 'PWR')","('CMS', 'AEE')","('BEN', 'CTXS')","('CVS', 'JWN')"
19,2019-05-28,2019-05-31,"('FE', 'AEE')","('IPG', 'ETN')","('FITB', 'CVX')","('EVRG', 'ED')","('PWR', 'ALB')"
20,2019-06-03,2019-06-07,"('SO', 'LNT')","('XEL', 'EVRG')","('ACN', 'INFO')","('HBI', 'EOG')","('CF', 'CI')"
21,2019-06-10,2019-06-14,"('PFE', 'KMB')","('DIS', 'XRAY')","('DRE', 'WEC')","('FE', 'ES')","('ACN', 'PAYX')"
22,2019-06-17,2019-06-21,"('SYY', 'XRAY')","('CAT', 'DG')","('MA', 'GPN')","('KR', 'VLO')","('BAX', 'PCAR')"
23,2019-06-24,2019-06-28,"('AEE', 'EVRG')","('MAR', 'EL')","('IBM', 'HLT')","('T', 'SYF')","('DG', 'TMO')"
24,2019-07-01,2019-07-05,"('SO', 'EVRG')","('CPB', 'PAYX')","('FISV', 'COST')","('MDLZ', 'PEP')","('V', 'ICE')"
25,2019-07-08,2019-07-12,"('SO', 'EVRG')","('ES', 'ED')","('LNT', 'WEC')","('D', 'AEE')",
26,2019-07-15,2019-07-19,"('ADM', 'LUV')","('XLNX', 'QRVO')","('O', 'WEC')","('XEL', 'DRE')","('LIN', 'APH')"
27,2019-07-22,2019-07-26,"('AAPL', 'INFO')","('PAYX', 'WM')","('XEL', 'FE')",,
28,2019-07-29,2019-08-02,"('PPL', 'SO')","('NKE', 'KMB')","('ROST', 'EVRG')","('AEE', 'AKAM')","('WELL', 'ED')"
29,2019-08-05,2019-08-09,"('DAL', 'NWSA')","('CPRI', 'ALB')","('MDLZ', 'INFO')",,
30,2019-08-12,2019-08-16,"('MGM', 'VFC')","('DE', 'DFS')","('BMY', 'LNT')","('DRE', 'INFO')","('AXP', 'PLD')"
31,2019-08-19,2019-08-23,"('PFE', 'ALGN')","('CERN', 'MMC')","('UPS', 'OMC')","('CL', 'HRB')","('HD', 'PAYX')"
32,2019-08-26,2019-08-30,"('AMT', 'WEC')","('ADP', 'TROW')","('PEP', 'BLL')","('SYF', 'CI')","('MDLZ', 'AEE')"
33,2019-09-03,2019-09-06,"('MSFT', 'MCD')","('VZ', 'ICE')","('BMY', 'XEL')","('WU', 'GRMN')","('PSX', 'A')"
34,2019-09-09,2019-09-13,"('ETFC', 'FDX')","('MSFT', 'ADP')","('FE', 'O')","('KO', 'TTWO')","('EMR', 'TROW')"
35,2019-09-16,2019-09-20,"('MU', 'LRCX')","('GPS', 'CPRI')","('NWL', 'FDX')","('CCL', 'LYB')","('CAT', 'RCL')"
36,2019-09-23,2019-09-27,"('NWL', 'FAST')","('FCX', 'LNC')","('UAL', 'PFG')","('GPS', 'HBI')","('GE', 'NLSN')"
37,2019-09-30,2019-10-04,"('FAST', 'NTAP')","('MCD', 'PHM')","('PEP', 'PFG')","('WMB', 'MMM')","('MYL', 'DVA')"
38,2019-10-07,2019-10-11,"('CAT', 'BEN')","('KHC', 'CBRE')","('WELL', 'UDR')","('LKQ', 'MMC')","('EOG', 'CXO')"
39,2019-10-14,2019-10-18,"('INCY', 'GPN')","('MSFT', 'DE')","('PHM', 'ROL')","('SO', 'ES')","('T', 'DIS')"
40,2019-10-21,2019-10-25,"('CHD', 'WEC')","('MA', 'GPN')","('CHRW', 'HAS')","('SO', 'MCD')","('UTX', 'ADP')"
41,2019-10-28,2019-11-01,"('HD', 'COST')","('SYY', 'GRMN')","('CI', 'URI')","('DG', 'EQR')",
42,2019-11-04,2019-11-08,"('EVRG', 'WEC')","('PEP', 'LNT')","('PM', 'WRK')",,
43,2019-11-11,2019-11-15,"('TJX', 'UAL')","('KO', 'LNT')","('V', 'INFO')","('ETFC', 'HON')","('ROST', 'ROL')"
44,2019-11-18,2019-11-22,"('PG', 'AEE')","('SYF', 'CTSH')","('PEP', 'O')","('KO', 'D')","('HD', 'FIS')"
