Return Type,Overnight,Daily,Overnight,Daily,Overnight,Daily
Year,2020,2020,2021,2021,2022,2022
Annualized Return,16.214946533092647,-3.916563326700843,35.20196015763862,-4.9391748499808354,11.889674351342105,-2.1666435510158113
Annualized Volatility,14.96627031838251,3.2084313720801223,20.344023132433996,1.7367508326642893,9.595340449663377,1.1410942372720143
Annualized Sharpe Ratio,1.0834326915221113,-1.2207097090443975,1.7303342573139804,-2.8439167882267937,1.2391091711351647,-1.8987419971513941
Annualized Sortino Ratio,1.978461165575013,-1.3763136655567616,2296.872684463596,-2.173180065783475,337.99110560053106,-1.49348546382834
Skewness,10.501352617821547,3.899651530935058,10.54016889001896,-6.590554409433901,14.713187474917966,-10.534314793808228
Excess Kurtosis,163.22889487018355,82.55670642768192,111.81568005685658,46.9481358263006,219.58454525338155,119.46362976890155
VaR (0.05),-0.004380746234632526,-0.011164882618953965,-0.0019797632160469666,-0.0036176530047863694,-0.003083120608759931,-0.0032054436950217677
CVaR (0.05),-0.4875160379007642,-0.47071050982087115,-0.0031659132462031336,-0.3705737134411852,-0.006389722044113235,-0.16110334015708963
Min,-5.549796745823103,-1.481836951755507,-0.00550721033876872,-0.9367777395810399,-0.016824595776980804,-0.9011844466891044
Max,13.281485953666579,2.29857027744756,14.681339575138376,0.005368224269252141,9.049631223637743,0.016730178576390357
Max Drawdown,-44.288094787477,-1.0043722795559002,-0.016415040126973625,-0.9998474238696092,-0.03734028722367057,-0.9744039460684385
Calmar Ratio,0.3661242735977349,3.899513563270201,2144.4943104216864,4.939928565165715,318.4141107464503,2.2235578578656887
Peak,2020-08-05 00:00:00,2020-01-13 00:00:00,2021-01-19 00:00:00,2021-03-01 00:00:00,2022-03-10 00:00:00,2022-04-11 00:00:00
Bottom,2020-11-04 00:00:00,2020-08-24 00:00:00,2021-03-01 00:00:00,2021-12-28 00:00:00,2022-04-11 00:00:00,2022-12-28 00:00:00
Recovery,Not yet recovered,Not yet recovered,2021-03-29 00:00:00,Not yet recovered,2022-08-08 00:00:00,Not yet recovered
