Year,Weighting,Annualized Return,Annualized Volatility,Annualized Sharpe Ratio,Annualized Sortino Ratio,Skewness,Excess Kurtosis,VaR (0.05),CVaR (0.05),Min,Max,Max Drawdown,Calmar Ratio,Peak,Bottom,Recovery
2020,Equal,0.09554887894896319,0.04489810686499974,2.1281271220691087,2.329982991591258,-1.04420820297694,11.182442768518783,-0.0024481616464063233,-0.00659972378749251,-0.0169840468853415,0.011725200689278402,-0.022758823406315045,4.198322437110286,2020-03-18,2020-03-27,2020-04-07 00:00:00
2020,Empirical,0.09090312499088284,0.06996514391271322,1.2992630316646148,1.693738796174818,1.3271546438737467,17.584207747859214,-0.006113482786596479,-0.010185055579925936,-0.01950868269883784,0.03471298567561279,-0.06025281159798432,1.5086951559605541,2020-06-15,2020-09-30,2020-12-08 00:00:00
2020,LedoitWolf,0.11922465714272763,0.06702851443830507,1.7787154935749823,2.42557464253506,1.839773664172351,20.9956802556794,-0.004041210056301746,-0.009001427594237223,-0.0169840468853415,0.0347129856756128,-0.04012884153993915,2.9710465731752205,2020-06-15,2020-09-21,2020-12-21 00:00:00
2020,MarcenkoPastur,0.09137084983335288,0.06992811686184686,1.306639645593049,1.6950327138891355,1.322317835580799,17.594837759277407,-0.006112899393376541,-0.010183560297782297,-0.01950086353800681,0.0347129856756128,-0.06041752608184589,1.512323588184915,2020-06-15,2020-09-30,2020-12-08 00:00:00
2021,Equal,0.0023833578379146747,0.02600598923915314,0.09164649788927955,0.105831872037301,-1.3235363336781472,15.697902351013386,-0.0021644421607131996,-0.004036366065915699,-0.01222392940959818,0.0075546635755305005,-0.01517027313618121,0.15710711445467315,2021-01-19,2021-03-08,2021-07-20 00:00:00
2021,Empirical,-0.027775099539363343,0.03272282185081242,-0.8487990328582791,-1.147458374663949,-0.39395583082098035,4.814732206956946,-0.003388134380256167,-0.00490943021251292,-0.011396383928055,0.007997692077245044,-0.03866439656314009,0.718363714638758,2021-09-14,2021-12-07,Not yet recovered
2021,LedoitWolf,-0.012952164710863455,0.02813786227935855,-0.4603109000346817,-0.5208360142930051,-1.5787435867626154,12.05119599275534,-0.0022568395851555716,-0.004614962774726492,-0.01222392940959818,0.0070836645715412205,-0.025707565268030374,0.5038269698364091,2021-03-04,2021-12-06,Not yet recovered
2021,MarcenkoPastur,-0.027507951570296705,0.032698574674586985,-0.841258429275684,-1.1382755188699218,-0.39000573145312695,4.833624168346178,-0.0033886622118154087,-0.004900129519978015,-0.011396383928055,0.0079976920772451,-0.03864502860675872,0.7118108735333107,2021-09-14,2021-12-07,Not yet recovered
2022,Equal,1.6326254116226488,1.75581528056378,0.9298389356187995,2.899574344472183,12.745451612995593,183.68413803013843,-0.0025494372444513085,-0.04767415833651716,-0.29500336755293566,1.603976074296921,-0.4866806740841467,3.354613196209162,2022-03-28,2022-03-30,2022-04-01 00:00:00
2022,Empirical,-0.03664025450774202,0.17526781502618735,-0.20905295420193076,-0.20868087320538936,-3.7467267124455335,95.10557844893397,-0.005954958591785052,-0.017418782244759148,-0.12775439974114244,0.09296621154436088,-0.12775439974114244,0.28680229081724745,2022-03-28,2022-03-29,Not yet recovered
2022,LedoitWolf,1.6543270766729976,1.7558562228710604,0.9421768451906336,2.905965859083525,12.742195121613273,183.62637244288138,-0.004596117634015597,-0.04844493493228059,-0.29500336755293566,1.603976074296921,-0.4866806740841467,3.3992043752018097,2022-03-28,2022-03-30,2022-04-01 00:00:00
2022,MarcenkoPastur,-0.03673970358938583,0.17526953949118465,-0.20961830387666244,-0.20924094472326177,-3.7467962722243917,95.10906996422571,-0.005946854467972923,-0.017423612007087884,-0.12775694761754525,0.09296804581357153,-0.12775694761754539,0.2875749951334953,2022-03-28,2022-03-29,Not yet recovered
