Year,Weighting,Annualized Return,Annualized Volatility,Annualized Sharpe Ratio,Annualized Sortino Ratio,Skewness,Excess Kurtosis,VaR (0.05),CVaR (0.05),Min,Max,Max Drawdown,Calmar Ratio,Peak,Bottom,Recovery
2020,Equal,0.38082556703720605,1.1929047765938796,0.31924221824694465,0.3391092194988378,-0.9049284267027624,58.325762983660184,-0.015118977121649923,-0.12423954288920683,-0.7325216446632924,0.6210949998995228,-0.7784731441142418,0.4891955103608808,2020-08-06,2020-08-24,Not yet recovered
2020,Empirical,-1.9053259571917769,1.9443583141650216,-0.9799253271946398,-0.7854556850320289,-5.1033221883914415,48.473607390826665,-0.023410221209556763,-0.2831081144438356,-1.0024228440413434,0.6880962140012299,-1.0002489907264889,1.904851666791409,2020-01-14,2020-01-16,Not yet recovered
2020,LedoitWolf,-1.5692555080915567,2.28286532629107,-0.6874060813044534,-0.5716625587084999,-4.556846613275277,38.01810855731705,-0.020163018115928053,-0.33107338049143054,-1.093252141099232,0.6880962140012299,-1.0002489907264889,1.5688648752864962,2020-01-14,2020-01-16,Not yet recovered
2020,MarcenkoPastur,-1.904860014963964,1.9441803559172028,-0.9797753635183251,-0.7853318394568232,-5.10399233626452,48.48790006207934,-0.023409417822582317,-0.2831219761114864,-1.0024228440413434,0.6880962140012299,-1.0002489907264889,1.9043858405500105,2020-01-14,2020-01-16,Not yet recovered
2021,Equal,9.551286073761213,5.240667375217919,1.8225323971002927,149.57902527843407,12.366562964375985,168.2213006257554,-0.009974198549824067,-0.01132603004241847,-0.016585705380835168,4.702049724231256,-0.03141256949680034,304.05936944235333,2021-09-29,2021-11-17,Not yet recovered
2021,Empirical,7.3250087549438705,4.528551044442805,1.6175171005155673,52.670621019220825,10.98035527836119,121.47655284487736,-0.016773692896630565,-0.026054238800899056,-0.044130792890800616,3.424547928263676,-0.04413079289080064,165.98407314070303,2021-05-25,2021-05-26,2021-06-03 00:00:00
2021,LedoitWolf,6.836107504705657,4.372169298427469,1.56355050275944,68.68191123151895,11.90220782985683,147.64454061559104,-0.011378171690668135,-0.01762165724780705,-0.027724293022522058,3.7093625239686117,-0.03056889845636557,223.6295008949571,2021-05-25,2021-06-02,2021-09-20 00:00:00
2021,MarcenkoPastur,7.298410010785692,4.512271941150516,1.6174579249593677,52.5463843166426,10.984194041232723,121.59153072975639,-0.016764813266722325,-0.026049337419364563,-0.04417875923596962,3.415856858368041,-0.04417875923596953,165.2017878501998,2021-05-25,2021-05-26,2021-06-03 00:00:00
2022,Equal,3.233573323598772,3.09994796000004,1.0431056796188056,42.48326051014499,15.520123908467667,241.24419278311657,-0.010512897427427163,-0.01433397288263907,-0.020316704812052458,3.035761472573132,-0.04644663323243606,69.6191111940618,2022-02-07,2022-07-27,2022-08-08 00:00:00
2022,Empirical,-0.08349705420998446,0.1670293049352586,-0.49989463970019116,-0.5594090232742079,0.295825537169203,10.690002646308429,-0.016123180857485965,-0.027693685137813236,-0.055655220940372487,0.06151165960834232,-0.1258362036176347,0.6635376132587265,2022-01-26,2022-11-21,Not yet recovered
2022,LedoitWolf,-0.06648771928970007,0.12094925163724289,-0.5497158385825602,-0.6524580473118526,0.0782950090569601,4.809738027415882,-0.012203479183502269,-0.019036859230786858,-0.03161261473965872,0.03486568029352781,-0.0842314024039161,0.7893459848961141,2022-02-07,2022-09-29,Not yet recovered
2022,MarcenkoPastur,-0.08358879951641747,0.16694220810628568,-0.5007050072274095,-0.5602624767788139,0.29713718202523953,10.755665714476656,-0.016055964653572105,-0.027674543473436806,-0.055743192772301824,0.061609224288016934,-0.12580813450820827,0.6644149032427134,2022-01-26,2022-11-21,Not yet recovered
