Return Type,Overnight,Daily,Overnight,Daily,Overnight,Daily
Year,2020,2020,2021,2021,2022,2022
Annualized Return,-0.07273439604389964,-0.12936866168033734,-0.13322103142065259,0.00893700318871728,0.14991969923901743,1.0980887431973516
Annualized Volatility,0.129719464582293,0.11701267252437936,0.1142927122036235,0.1099822001236907,0.5171397462800892,1.0582707916342877
Annualized Sharpe Ratio,-0.5607053365361181,-1.105595307665361,-1.1656126523912256,0.08125863256660026,0.28990171480228694,1.0376254847793476
Annualized Sortino Ratio,-0.8119257310363538,-1.3735353218648236,-1.6269486395744854,0.11124216181358491,0.5088773315713292,4.399389287495346
Skewness,0.5223522533500585,-0.7709984521312486,0.08851917157593976,-0.02304070189974921,8.61084826337442,13.465595622015348
Excess Kurtosis,5.060354994256178,4.506798719549083,0.7360631177760593,0.8300404843680935,118.16971364535675,193.13975557436711
VaR (0.05),-0.014553312506919469,-0.010657059509077794,-0.01429981089831378,-0.010758765155666627,-0.012099932273987032,-0.010590263012102486
CVaR (0.05),-0.01763340981682467,-0.0178398287913251,-0.01618562094119989,-0.015528505625990832,-0.03912145407629693,-0.03299089491408355
Min,-0.03484940202323454,-0.04165841589507492,-0.02054649004720268,-0.02058432284644816,-0.1717025340563018,-0.13649514102153426
Max,0.0447032774194247,0.02138555176470143,0.021422699696984238,0.02087911435037982,0.40841813586724174,0.9540404995084348
Max Drawdown,-0.0805179403274351,-0.17479971286637616,-0.12885524274352117,-0.1072683420191867,-0.2784862763665761,-0.22241719369449858
Calmar Ratio,0.9033315525473848,0.7400965342502128,1.033881343003026,0.08331445252615866,0.5383378355121373,4.937067701275077
Peak,2020-01-22 00:00:00,2020-01-14 00:00:00,2021-01-26 00:00:00,2021-01-25 00:00:00,2022-03-15 00:00:00,2022-03-30 00:00:00
Bottom,2020-12-30 00:00:00,2020-05-29 00:00:00,2021-12-14 00:00:00,2021-09-02 00:00:00,2022-03-30 00:00:00,2022-08-23 00:00:00
Recovery,Not yet recovered,Not yet recovered,Not yet recovered,2021-12-13 00:00:00,2022-04-01 00:00:00,Not yet recovered
