time,Pair 1 Leg 1 Size,Pair 1 Leg 2 Size,Pair 1 PnL,Pair 1 Cash,Pair 1 Portfolio,Pair 2 Leg 1 Size,Pair 2 Leg 2 Size,Pair 2 PnL,Pair 2 Cash,Pair 2 Portfolio,Pair 3 Leg 1 Size,Pair 3 Leg 2 Size,Pair 3 PnL,Pair 3 Cash,Pair 3 Portfolio,Pair 4 Leg 1 Size,Pair 4 Leg 2 Size,Pair 4 PnL,Pair 4 Cash,Pair 4 Portfolio,Pair 5 Leg 1 Size,Pair 5 Leg 2 Size,Pair 5 PnL,Pair 5 Cash,Pair 5 Portfolio
2022-03-21 09:30:00,0,0,0.0,200000.0,200000.0,0.0,0,0.0,200000.0,200000.0,0,0,0.0,200000.0,200000.0,0,0,0.0,200000.0,200000.0,0,0,0.0,200000.0,200000.0
2022-03-21 09:31:00,0,0,0.0,200000.0,200000.0,0.0,0,0.0,200000.0,200000.0,0,0,0.0,200000.0,200000.0,0,0,0.0,200000.0,200000.0,0,0,0.0,200000.0,200000.0
2022-03-21 09:32:00,0,0,0.0,200000.0,200000.0,0.0,0,0.0,200000.0,200000.0,0,0,0.0,200000.0,200000.0,0,0,0.0,200000.0,200000.0,0,0,0.0,200000.0,200000.0
2022-03-21 09:33:00,0,0,0.0,200000.0,200000.0,0.0,0,0.0,200000.0,200000.0,0,0,0.0,200000.0,200000.0,0,0,0.0,200000.0,200000.0,0,0,0.0,200000.0,200000.0
2022-03-21 09:34:00,0,0,0.0,200000.0,200000.0,0.0,0,0.0,200000.0,200000.0,0,0,0.0,200000.0,200000.0,0,0,0.0,200000.0,200000.0,0,0,0.0,200000.0,200000.0
2022-03-21 09:35:00,0,0,0.0,200000.0,200000.0,0.0,0,0.0,200000.0,200000.0,0,0,0.0,200000.0,200000.0,0,0,0.0,200000.0,200000.0,0,0,0.0,200000.0,200000.0
2022-03-21 09:36:00,0,0,0.0,200000.0,200000.0,0.0,0,0.0,200000.0,200000.0,0,0,0.0,200000.0,200000.0,0,0,0.0,200000.0,200000.0,0,0,0.0,200000.0,200000.0
2022-03-21 09:37:00,0,0,0.0,200000.0,200000.0,0.0,0,0.0,200000.0,200000.0,0,0,0.0,200000.0,200000.0,0,0,0.0,200000.0,200000.0,0,0,0.0,200000.0,200000.0
2022-03-21 09:38:00,0,0,0.0,200000.0,200000.0,0.0,0,0.0,200000.0,200000.0,0,0,0.0,200000.0,200000.0,0,0,0.0,200000.0,200000.0,0,0,0.0,200000.0,200000.0
2022-03-21 09:39:00,0,0,0.0,200000.0,200000.0,0.0,0,0.0,200000.0,200000.0,0,0,0.0,200000.0,200000.0,0,0,0.0,200000.0,200000.0,0,0,0.0,200000.0,200000.0
