time,Pair 1 Leg 1 Size,Pair 1 Leg 2 Size,Pair 1 PnL,Pair 1 Cash,Pair 1 Portfolio,Pair 2 Leg 1 Size,Pair 2 Leg 2 Size,Pair 2 PnL,Pair 2 Cash,Pair 2 Portfolio,Pair 3 Leg 1 Size,Pair 3 Leg 2 Size,Pair 3 PnL,Pair 3 Cash,Pair 3 Portfolio,Pair 4 Leg 1 Size,Pair 4 Leg 2 Size,Pair 4 PnL,Pair 4 Cash,Pair 4 Portfolio,Pair 5 Leg 1 Size,Pair 5 Leg 2 Size,Pair 5 PnL,Pair 5 Cash,Pair 5 Portfolio
2022-03-21 09:30:00,0.0,0,0.0,200000.0,200000.0,0.0,0,0.0,200000.0,200000.0,0.0,0,0.0,200000.0,200000.0,0.0,0,0.0,200000.0,200000.0,0.0,0,0.0,200000.0,200000.0
2022-03-21 09:31:00,0.0,0,0.0,200000.0,200000.0,0.0,0,0.0,200000.0,200000.0,0.0,0,0.0,200000.0,200000.0,0.0,0,0.0,200000.0,200000.0,0.0,0,0.0,200000.0,200000.0
2022-03-21 09:32:00,0.0,0,0.0,200000.0,200000.0,0.0,0,0.0,200000.0,200000.0,0.0,0,0.0,200000.0,200000.0,0.0,0,0.0,200000.0,200000.0,0.0,0,0.0,200000.0,200000.0
2022-03-21 09:33:00,0.0,0,0.0,200000.0,200000.0,-81.0,106,0.0,189979.82,199962.2,0.0,0,0.0,200000.0,200000.0,-97.23519292553759,100,0.0,184069.0,199887.26557999518,-165.0,327,0.0,179994.14,200047.88600000003
2022-03-21 09:34:00,-127.0,251,0.0,179935.06,200008.83500000002,-81.0,106,-50.779999999999504,189979.82051572803,199962.2,0.0,0,0.0,200000.0,200000.0,-97.23519292553759,100,-137.18145858993967,184069.00080595637,199887.26557999518,-165.0,327,25.275000000000183,179994.14102239395,200047.88600000003
2022-03-21 09:35:00,0.0,0,-2.277099999998498,200005.62601210395,200005.62601210395,0.0,0,-51.8899999999999,199962.20103145606,199962.20103145606,0.0,0,0.0,200000.0,200000.0,0.0,0,-94.60084910430378,199887.26719190791,199887.26719190791,0.0,0,36.4950000000014,200047.8880447879,200047.8880447879
2022-03-21 09:36:00,0.0,0,0.0,200005.62601210395,200005.62601210395,0.0,0,0.0,199962.20103145606,199962.20103145606,-94.0,139,0.0,179861.68,200054.9,0.0,0,0.0,199887.26719190791,199887.26719190791,165.0,-327,0.0,179944.28804478789,200033.84054478788
2022-03-21 09:37:00,0.0,0,0.0,200005.62601210395,200005.62601210395,0.0,0,0.0,199962.20103145606,199962.20103145606,0.0,0,96.50300000000078,199998.58102263734,199998.58102263734,0.0,0,0.0,199887.26719190791,199887.26719190791,-83.0,165,44.759999999999344,189907.31906425065,200008.48906425067
2022-03-21 09:38:00,0.0,0,0.0,200005.62601210395,200005.62601210395,0.0,0,0.0,199962.20103145606,199962.20103145606,0.0,0,0.0,199998.58102263734,199998.58102263734,0.0,0,0.0,199887.26719190791,199887.26719190791,0.0,0,-21.660000000000423,200038.1020793692,200038.1020793692
2022-03-21 09:39:00,0.0,0,0.0,200005.62601210395,200005.62601210395,0.0,0,0.0,199962.20103145606,199962.20103145606,0.0,0,0.0,199998.58102263734,199998.58102263734,0.0,0,0.0,199887.26719190791,199887.26719190791,0.0,0,0.0,200038.1020793692,200038.1020793692
2022-03-21 09:40:00,0.0,0,0.0,200005.62601210395,200005.62601210395,0.0,0,0.0,199962.20103145606,199962.20103145606,0.0,0,0.0,199998.58102263734,199998.58102263734,0.0,0,0.0,199887.26719190791,199887.26719190791,0.0,0,0.0,200038.1020793692,200038.1020793692
2022-03-21 09:41:00,0.0,0,0.0,200005.62601210395,200005.62601210395,0.0,0,0.0,199962.20103145606,199962.20103145606,0.0,0,0.0,199998.58102263734,199998.58102263734,0.0,0,0.0,199887.26719190791,199887.26719190791,0.0,0,0.0,200038.1020793692,200038.1020793692
